Deduped.author.names,Author.Keywords,Year
"Wiles, J.",Taxonomies,2015
"Wiles, J.",Illustrative Visualization,2015
"Wiles, J.",Design Methodologies,2015
"Yalcin, M.A.",Multi-valued attributes,2015
"Yalcin, M.A.",sets,2015
"Yalcin, M.A.",visualization,2015
"Yalcin, M.A.",set visualization,2015
"Yalcin, M.A.",data exploration,2015
"Yalcin, M.A.",interaction,2015
"Yalcin, M.A.",design,2015
"Yalcin, M.A.",scalability,2015
"Elmqvist, N.",Multi-valued attributes,2015
"Elmqvist, N.",sets,2015
"Elmqvist, N.",visualization,2015
"Elmqvist, N.",set visualization,2015
"Elmqvist, N.",data exploration,2015
"Elmqvist, N.",interaction,2015
"Elmqvist, N.",design,2015
"Elmqvist, N.",scalability,2015
"Bederson, B.B.",Multi-valued attributes,2015
"Bederson, B.B.",sets,2015
"Bederson, B.B.",visualization,2015
"Bederson, B.B.",set visualization,2015
"Bederson, B.B.",data exploration,2015
"Bederson, B.B.",interaction,2015
"Bederson, B.B.",design,2015
"Bederson, B.B.",scalability,2015
Yong Wang,Visual Ambiguity,2015
Yong Wang,Visualization,2015
Yong Wang,Node-link diagram,2015
Yong Wang,Graph layout,2015
Yong Wang,Graph visualization,2015
Qiaomu Shen,Visual Ambiguity,2015
Qiaomu Shen,Visualization,2015
Qiaomu Shen,Node-link diagram,2015
Qiaomu Shen,Graph layout,2015
Qiaomu Shen,Graph visualization,2015
"Archambault, D.",Visual Ambiguity,2015
"Archambault, D.",Visualization,2015
"Archambault, D.",Node-link diagram,2015
"Archambault, D.",Graph layout,2015
"Archambault, D.",Graph visualization,2015
Zhiguang Zhou,Visual Ambiguity,2015
Zhiguang Zhou,Visualization,2015
Zhiguang Zhou,Node-link diagram,2015
Zhiguang Zhou,Graph layout,2015
Zhiguang Zhou,Graph visualization,2015
Min Zhu,Visual Ambiguity,2015
Min Zhu,Visualization,2015
Min Zhu,Node-link diagram,2015
Min Zhu,Graph layout,2015
Min Zhu,Graph visualization,2015
Sixiao Yang,Visual Ambiguity,2015
Sixiao Yang,Visualization,2015
Sixiao Yang,Node-link diagram,2015
Sixiao Yang,Graph layout,2015
Sixiao Yang,Graph visualization,2015
Huamin Qu,Visual Ambiguity,2015
Huamin Qu,Visualization,2015
Huamin Qu,Node-link diagram,2015
Huamin Qu,Graph layout,2015
Huamin Qu,Graph visualization,2015
"Anand, A.",Small multiple displays,2015
"Anand, A.",Visualization selection,2015
"Anand, A.",Multidimensional data,2015
"Talbot, J.",Small multiple displays,2015
"Talbot, J.",Visualization selection,2015
"Talbot, J.",Multidimensional data,2015
"Borkin, M.",Information visualization,2015
"Borkin, M.",memorability,2015
"Borkin, M.",recognition,2015
"Borkin, M.",recall,2015
"Borkin, M.",eye-tracking study,2015
"Bylinskii, Z.",Information visualization,2015
"Bylinskii, Z.",memorability,2015
"Bylinskii, Z.",recognition,2015
"Bylinskii, Z.",recall,2015
"Bylinskii, Z.",eye-tracking study,2015
Nam Wook Kim,Information visualization,2015
Nam Wook Kim,memorability,2015
Nam Wook Kim,recognition,2015
Nam Wook Kim,recall,2015
Nam Wook Kim,eye-tracking study,2015
"Bainbridge, C.M.",Information visualization,2015
"Bainbridge, C.M.",memorability,2015
"Bainbridge, C.M.",recognition,2015
"Bainbridge, C.M.",recall,2015
"Bainbridge, C.M.",eye-tracking study,2015
"Yeh, C.S.",Information visualization,2015
"Yeh, C.S.",memorability,2015
"Yeh, C.S.",recognition,2015
"Yeh, C.S.",recall,2015
"Yeh, C.S.",eye-tracking study,2015
"Borkin, D.",Information visualization,2015
"Borkin, D.",memorability,2015
"Borkin, D.",recognition,2015
"Borkin, D.",recall,2015
"Borkin, D.",eye-tracking study,2015
"Pfister, H.",Information visualization,2015
"Pfister, H.",memorability,2015
"Pfister, H.",recognition,2015
"Pfister, H.",recall,2015
"Pfister, H.",eye-tracking study,2015
"Oliva, A.",Information visualization,2015
"Oliva, A.",memorability,2015
"Oliva, A.",recognition,2015
"Oliva, A.",recall,2015
"Oliva, A.",eye-tracking study,2015
"Kay, M.",Weber's law,2015
"Kay, M.",perception of correlation,2015
"Kay, M.",log transformation,2015
"Kay, M.",censored regression,2015
"Kay, M.",Bayesian methods,2015
"Heer, J.",Weber's law,2015
"Heer, J.",perception of correlation,2015
"Heer, J.",log transformation,2015
"Heer, J.",censored regression,2015
"Heer, J.",Bayesian methods,2015
"Johansson, J.",Survey,2015
"Johansson, J.",evaluation,2015
"Johansson, J.",guidelines,2015
"Johansson, J.",parallel coordinates,2015
"Forsell, C.",Survey,2015
"Forsell, C.",evaluation,2015
"Forsell, C.",guidelines,2015
"Forsell, C.",parallel coordinates,2015
"Strobelt, H.",Text highlighting techniques,2015
"Strobelt, H.",visual document analytics,2015
"Strobelt, H.",text annotation,2015
"Strobelt, H.",crowdsourced study,2015
"Oelke, D.",Text highlighting techniques,2015
"Oelke, D.",visual document analytics,2015
"Oelke, D.",text annotation,2015
"Oelke, D.",crowdsourced study,2015
Bum Chul Kwon,Text highlighting techniques,2015
Bum Chul Kwon,visual document analytics,2015
Bum Chul Kwon,text annotation,2015
Bum Chul Kwon,crowdsourced study,2015
"Schreck, T.",Text highlighting techniques,2015
"Schreck, T.",visual document analytics,2015
"Schreck, T.",text annotation,2015
"Schreck, T.",crowdsourced study,2015
"Pfister, H.",Text highlighting techniques,2015
"Pfister, H.",visual document analytics,2015
"Pfister, H.",text annotation,2015
"Pfister, H.",crowdsourced study,2015
"Yoghourdjian, V.",Network visualization,2015
"Yoghourdjian, V.",graph drawing,2015
